feature,frekuensi,sentiment
bon,2,positive
bon appétit,1,positive
bon bons,1,positive
bona,1,negative
bona fide,1,negative
bond,3,negative
bond,9,positive
bond die,1,positive
bond extreme,1,negative
bond film,1,negative
bond films,1,positive
bond girl,1,positive
bond makes,1,positive
bond movie,1,negative
bond movie,1,positive
bond series,1,positive
bond watching,1,positive
bond wrestling,1,positive
bonding,1,negative
bonding,1,positive
bonding picture,1,negative
bonding pictures,1,positive
bondish,1,negative
bondish performance,1,negative
bonds,2,positive
bonds rarely,1,positive
bonds years,1,positive
bone,2,negative
bone,2,positive
bone body,1,negative
bone chilling,1,positive
bone miss,1,negative
bones,3,negative
bones byattis,1,negative
bones narrative,1,negative
bones tickled,1,negative
bons,1,positive
bons whose,1,positive
bonus,1,negative
bonus,1,positive
bonus feature,1,negative
bonus viewers,1,positive
boobs,1,negative
boobs,2,positive
boobs fantasti,1,positive
boobs hawn,1,positive
boobs unmentionables,1,negative
book,15,negative
book,13,positive
book adaptations,1,positive
book aimed,1,negative
book antwone,1,negative
book bedtime,1,positive
book byatt,1,positive
book film,2,positive
book guy,1,negative
book jacket,1,negative
book maguire,1,positive
book nonsensical,1,negative
book not_translate,1,negative
book on,1,negative
book on,1,positive
book report,2,negative
book same,1,positive
book scripting,1,positive
book soul,1,positive
book sprung,1,positive
book still,1,negative
book trainspotting,1,positive
book trying,1,negative
book ultimately,1,negative
bookis,1,negative
bookis irreverent,1,negative
books,3,negative
books,1,positive
books better,1,negative
books not_go,1,positive
books unread,1,negative
boom,1,negative
boom,1,positive
boom bam,1,positive
boom mikes,1,negative
boomer,1,negative
boomer,1,positive
boomer demographic,1,negative
boomer families,1,positive
boomers,2,positive
boomers kids,1,positive
boorish,1,negative
boorish movie,1,negative
boorishness,1,negative
boost,2,positive
boost without,1,positive
boosted,1,positive
boosted size,1,positive
boot,1,positive
booths,1,negative
booths surrounding,1,negative
boots,2,negative
boots cinema,1,negative
boots natalie,1,negative
boozy,1,negative
boozy,1,positive
boozy languid,1,positive
boozy self,1,negative
bop,1,positive
bop ride,1,positive
bopper,1,negative
bopper set,1,negative
border,1,positive
border collie,1,positive
bordering,2,negative
bordering on,2,negative
borderline,1,negative
borderline insulting,1,negative
borders,1,negative
borders,3,positive
borders desperate,1,positive
borders on,1,negative
borders on,2,positive
bore,11,negative
bore,1,positive
bore innocence,1,negative
bore most,1,positive
bore preachy,1,negative
bore seems,1,negative
bore tedious,1,negative
bore tends,1,negative
bored,4,negative
bored,2,positive
bored abcis,1,negative
bored audience,1,positive
bored cage,1,negative
bored cheering,1,negative
bored christmas,1,positive
bored watching,1,negative
boredom,3,negative
boredom,1,positive
boredom not_takes,1,positive
boredom point,1,negative
boredom send,1,negative
bores,1,negative
bores like,1,negative
boring,23,negative
boring,2,positive
boring despite,1,negative
boring even,1,negative
boring forgettable,1,negative
boring man,1,positive
boring martial,1,negative
boring masquerade,1,negative
boring meandering,1,negative
boring movie,1,positive
boring not_even,1,negative
boring obvious,2,negative
boring pretentious,2,negative
boring proves,1,positive
boring see,1,negative
boring self,1,negative
boring talking,1,negative
boring watching,1,negative
born,4,positive
born cinematography,1,positive
born make,1,positive
born out,1,positive
born play,1,positive
bornin,1,positive
borrow,1,positive
borrow some,1,positive
borrowed,2,negative
borrowed construction,1,negative
borrowed images,1,negative
borrows,3,negative
borrows,2,positive
borrows bad,1,negative
borrows bit,1,positive
borrows heavily,1,negative
borrows heavily,1,positive
borrows other,1,negative
borscht,1,positive
borscht belt,1,positive
borstal,1,negative
borstal boy,1,negative
boss,1,negative
boss close,1,negative
boston,1,positive
boston public,1,positive
botched,1,negative
botched execution,1,negative
botches,1,positive
botches enigma,1,positive
botching,1,negative
botching routine,1,negative
bother,7,negative
bother contemptible,1,negative
bother going,1,negative
bother pleasuring,1,negative
bother remembering,1,negative
bother rent,1,negative
bother thinking,1,negative
bother watching,1,negative
bothered,1,negative
bothered,1,positive
bothered check,1,negative
bothered construct,1,positive
bots,1,positive
bots please,1,positive
bottom,8,negative
bottom,4,positive
bottom barrel,1,negative
bottom bill,1,negative
bottom cracker,1,negative
bottom feeder,1,negative
bottom line,1,negative
bottom line,3,positive
bottom pool,1,negative
bottom rung,1,negative
bottom sophisticated,1,positive
bottom tier,1,negative
bottomlessly,1,negative
bottomlessly cynical,1,negative
bought,1,positive
bought movie,1,positive
bounces,1,negative
bounces around,1,negative
bouncing,1,negative
bouncing bravado,1,negative
bouncy,2,positive
bouncy bit,1,positive
bouncy score,1,positive
bound,3,negative
bound,3,positive
bound action,1,negative
bound appeal,1,positive
bound appreciate,1,positive
bound determined,1,negative
bound show,1,negative
bound widow,1,positive
boundaries,2,positive
boundaries celebrates,1,positive
boundary,1,positive
boundary hopping,1,positive
bounds,1,positive
bounds along,1,positive
bouquet,2,positive
bouquet gives,1,positive
bouquet movie,1,positive
bourgeois,2,positive
bourgeois desperation,1,positive
bourgeois french,1,positive
bourne,1,negative
bourne,4,positive
bourne amoral,1,positive
bourne identity,2,positive
bourne predicament,1,negative
bout,2,negative
bout features,1,negative
bout time,1,negative
bouts,1,negative
bouts barely,1,negative
bow,2,negative
bow,2,positive
bow fashioning,1,positive
bow wow,2,negative
bow wow,1,positive
bowel,2,negative
bowel evacuations,1,negative
bowel movements,1,negative
bowl,1,positive
bowl would,1,positive
bowling,4,positive
bowling columbine,3,positive
bowser,1,negative
box,2,negative
box,5,positive
box consolation,1,negative
box office,4,positive
box special,1,negative
boxes,1,positive
boxes womenis,1,positive
boy,10,negative
boy,13,positive
boy delving,1,negative
boy diesel,1,positive
boy forced,1,negative
boy franchise,1,negative
boy humor,1,negative
boy injects,1,positive
boy lil,1,negative
boy love,1,positive
boy meets,1,positive
boy mind,1,positive
boy more,1,positive
boy not_look,1,positive
boy out,1,negative
boy represents,1,negative
boy right,1,positive
boy see,1,positive
boy suburban,1,negative
boy tries,1,negative
boy truly,1,positive
boy weirdo,1,positive
boy yearning,1,positive
boydis,1,negative
boydis screenplay,1,negative
boyis,1,positive
boyis characters,1,positive
boys,7,negative
boys,7,positive
boys actually,1,positive
boys appalling,1,negative
boys bad,1,negative
boys bowser,1,negative
boys boy,1,positive
boys compelling,1,positive
boys evokes,1,positive
boys flaws,1,positive
boys funnier,1,negative
boys new,1,negative
boys peroxide,1,negative
boys take,1,positive
boys wrestling,1,negative
boyz,1,negative
boyz hood,1,negative
bracing,4,positive
bracing intelligence,1,positive
bracing sometimes,1,positive
bracing truth,1,positive
bracing unblinking,1,positive
bracingly,1,negative
bracingly,1,positive
bracingly nasty,1,negative
bracingly truthful,1,positive
bradyis,1,negative
bradyis direction,1,negative
brain,8,negative
brain,4,positive
brain candy,1,positive
brain dead,1,negative
brain deadening,1,negative
brain door,1,positive
brain engaged,1,negative
brain little,1,negative
brain secret,1,negative
brain strain,1,negative
brainless,2,negative
brainless enjoyably,1,negative
brainless flibbertigibbet,1,negative
brainpower,1,positive
brainpower coupled,1,positive
brains,1,negative
brains,1,positive
brains ground,1,negative
brainy,1,negative
brainy prep,1,negative
branagh,1,positive
brand,3,negative
brand,2,positive
brand christianity,1,negative
brand liberalism,1,negative
brand name,1,negative
brand new,1,positive
brand romantic,1,positive
brash,1,negative
brash,2,positive
brash intelligent,1,positive
brash mainly,1,negative
brash young,1,positive
brass,1,positive
brass soul,1,positive
brat,1,positive
brat imagination,1,positive
brats,1,negative
brats ever,1,negative
bratt,1,negative
bratt could,1,negative
bratty,1,negative
bratty sympathy,1,negative
bravado,2,negative
bravado,1,positive
bravado characterizes,1,negative
bravado kathy,1,positive
bravado take,1,negative
brave,3,positive
brave challenging,1,positive
brave sweetly,1,positive
brave uninhibited,1,positive
braveheart,1,negative
braveheart well,1,negative
bravery,3,positive
bravery dedication,1,positive
bravery integrity,1,positive
bravery political,1,positive
bravo,1,positive
bravo history,1,positive
bravois,1,positive
bravois documentary,1,positive
bravura,1,positive
bravura performance,1,positive
brawn,1,negative
brawn not_brains,1,negative
brawny,1,negative
brawny,1,positive
brawny frame,1,positive
brawny lyrical,1,negative
bray,1,negative
bray,1,positive
bray completely,1,negative
bray whose,1,positive
brazen,1,negative
brazen enough,1,negative
brazenly,1,negative
brazenly misguided,1,negative
brazil,1,negative
brazil like,1,negative
breach,1,negative
breach gaps,1,negative
bread,3,negative
bread dipped,1,negative
bread sweet,2,negative
breadth,3,positive
breadth vision,1,positive
breadth watching,1,positive
break,7,negative
break,5,positive
break aiming,1,negative
break cattaneo,1,negative
break free,1,positive
break heart,3,positive
break orgy,1,negative
break still,1,negative
break tedium,1,negative
break up,1,positive
breakdown,1,positive
breaking,2,positive
breaking funny,1,positive
breaking out,1,positive
breaks,3,negative
breaks,3,positive
breaks heart,2,positive
breaks little,1,negative
breaks mood,1,negative
breaks not_new,1,negative
breakthrough,1,negative
breakthrough,2,positive
breakthrough devoid,1,negative
breakthrough first,1,positive
breakthrough snow,1,positive
breasts,1,negative
breasts authentic,1,negative
breath,1,negative
breath,4,positive
breath away,1,positive
breath fresh,1,negative
breath fresh,2,positive
breath oral,1,positive
breathe,2,positive
breathe life,1,positive
breathe out,1,positive
breathes,3,positive
breathes extraordinary,1,positive
breathes life,1,positive
breathes more,1,positive
breathing,1,negative
breathing,1,positive
breathing entity,1,negative
breathing part,1,positive
breathless,1,negative
breathless anticipation,1,negative
breathtaking,6,positive
breathtaking adventure,1,positive
breathtaking awe,1,positive
breathtaking mystery,1,positive
breathtaking overall,1,positive
breathtaking viscerally,1,positive
breathtakingly,4,positive
breathtakingly assured,1,positive
breathtakingly beautiful,1,positive
breathtakingly creative,1,positive
breathtakingly spectacular,1,positive
brecht,1,positive
brecht faced,1,positive
breed,1,positive
breenis,1,negative
breenis script,1,negative
breezy,2,negative
breezy,5,positive
breezy amateurish,1,negative
breezy blend,1,positive
breezy caper,1,positive
breezy distracted,1,positive
breezy ends,1,negative
breezy movie,1,positive
breezy pretty,1,positive
brehenyis,1,positive
brehenyis lensing,1,positive
breillatis,1,positive
breillatis fat,1,positive
breitbart,1,negative
breitbart hanussen,1,negative
brendan,1,positive
brendan usual,1,positive
brent,1,positive
brent hanley,1,positive
brett,1,positive
brett morgen,1,positive
brian,3,negative
brian,1,positive
brian de,2,negative
brian depalma,1,negative
brian tufanois,1,positive
bride,1,negative
bride,5,positive
bride becomes,1,negative
bride comes,1,positive
bride proves,1,positive
bride reminded,1,positive
brideis,1,positive
brideis humour,1,positive
bridge,1,negative
bridge,4,positive
bridge celebration,1,positive
bridge poem,1,positive
bridget,1,negative
bridget,1,positive
bridget jonesis,1,negative
bridget jonesis,1,positive
brief,1,negative
brief,1,positive
brief amount,1,positive
brief pretentious,1,negative
bright,1,negative
bright,7,positive
bright flashy,1,positive
bright future,1,positive
bright intelligent,1,positive
bright inventive,1,positive
bright on,1,positive
bright pristine,1,positive
bright shining,1,negative
bright young,1,positive
brightly,1,negative
brightly,2,positive
brightly colored,1,positive
brightly gets,1,negative
brightly optimistic,1,positive
brilliance,2,negative
brilliance,1,positive
brilliance animal,1,negative
brilliance person,1,negative
brilliance sparkling,1,positive
brilliant,3,negative
brilliant,18,positive
brilliant absurd,1,positive
brilliant brutal,1,positive
brilliant college,1,negative
brilliant conflicted,1,positive
brilliant deftly,1,positive
brilliant entertaining,1,positive
brilliant equal,1,positive
brilliant little,1,positive
brilliant macabre,1,positive
brilliant motion,1,positive
brilliant movie,1,positive
brilliant plays,1,positive
brilliant really,1,positive
brilliant safe,1,positive
brilliant surfing,1,positive
brilliant touches,1,negative
brilliant videodrome,1,negative
brilliant work,1,positive
brilliantly,1,negative
brilliantly,6,positive
brilliantly constructed,1,positive
brilliantly employ,1,positive
brilliantly named,1,negative
brilliantly played,1,positive
brilliantly shines,1,positive
brilliantly written,1,positive
brim,2,positive
brim ideas,1,positive
brim sexual,1,positive
brimming,1,positive
brimming coltish,1,positive
brims,1,positive
brims passion,1,positive
bring,5,negative
bring,15,positive
bring characters,1,positive
bring cohesion,1,negative
bring edge,1,negative
bring fresh,2,positive
bring heart,1,positive
bring imax,1,positive
bring music,1,positive
bring new,1,positive
bring off,1,negative
bring off,1,positive
bring on,1,negative
bring on,2,positive
bring out,2,positive
bring routine,1,positive
bring something,1,positive
bring tissues,1,positive
bring together,1,negative
bringing,6,positive
bringing off,2,positive
bringing richer,1,positive
bringing right,1,positive
bringing story,1,positive
bringing unforced,1,positive
brings,1,negative
brings,17,positive
brings beguiling,1,positive
brings documentary,1,positive
brings fore,1,positive
brings irresistible,1,positive
brings life,1,positive
brings out,1,negative
brings out,1,positive
brings proper,1,positive
brings role,1,positive
brings spectacular,1,positive
brings together,2,positive
brings tragic,1,positive
brings unknown,1,positive
brings us,2,positive
brings youthful,1,positive
brink,2,positive
brink major,1,positive
brink womanhood,1,positive
brio,2,negative
brio,1,positive
brio film,1,negative
brisk,1,negative
brisk,2,positive
brisk delight,1,positive
brisk hack,1,negative
brisk reverent,1,positive
bristles,1,positive
bristles passion,1,positive
brit,1,negative
brit,2,positive
brit actors,1,positive
brit cinema,1,positive
brit com,1,negative
british,6,negative
british,8,positive
british actor,2,positive
british cast,1,positive
british cinema,1,positive
british comedy,2,negative
british comedy,1,positive
british filmmakers,1,negative
british hybrid,1,positive
british persona,1,negative
british production,1,positive
british soldiers,1,negative
british stage,1,positive
britney,4,negative
britney not_one,1,negative
britney person,1,negative
britney spears,2,negative
britneyis,2,negative
britneyis cutoffs,1,negative
britneyis latest,1,negative
brits,3,negative
brits cute,1,negative
brits genre,1,negative
brittle,1,positive
brittle desperation,1,positive
broaches,1,positive
broaches neo,1,positive
broad,5,negative
broad,3,positive
broad appears,1,negative
broad cartoonish,1,positive
broad comes,1,negative
broad cross,1,positive
broad mildly,1,negative
broad racial,1,negative
broad shoulders,1,negative
broad streaks,1,positive
broadcast,1,negative
broader,1,positive
broader ideas,1,positive
broadside,1,positive
broadside publishing,1,positive
broadway,2,positive
broadway play,1,positive
broadwayis,1,positive
broadwayis lion,1,positive
brockovich,1,positive
brockovich out,1,positive
broderis,1,negative
broderis screenplay,1,negative
brody,1,positive
brody title,1,positive
brogue,2,positive
brogue accentuating,1,positive
broiling,1,negative
broiling sun,1,negative
broke,2,negative
broke,1,positive
broke acting,1,positive
broke out,1,negative
broken,6,negative
broken,2,positive
broken character,1,negative
broken characters,1,positive
broken frequent,1,negative
broken friends,1,positive
broken heart,2,negative
broken legs,1,negative
broken lizard,1,negative
bromides,1,negative
bromides slogans,1,negative
bronx,1,negative
bronx tale,1,negative
bronze,1,positive
brooding,2,negative
brooding,3,positive
brooding look,1,positive
brooding personalities,1,negative
brooding quality,1,positive
brooding quietly,1,positive
brooding slow,1,negative
brooklyn,2,negative
brooklyn stale,1,negative
brooks,1,negative
brooks,1,positive
brooks borscht,1,positive
brooks least,1,negative
broomfield,2,negative
broomfield,4,positive
broomfield compelling,1,negative
broomfield continues,1,positive
broomfield dresses,1,negative
broomfield energized,1,positive
broomfield rather,1,positive
broomfield reminds,1,positive
broomfieldis,1,negative
broomfieldis,3,positive
broomfieldis film,1,positive
broomfieldis findings,1,positive
broomfieldis interviewees,1,positive
broomfieldis style,1,negative
brooms,1,negative
brooms,1,positive
brooms kind,1,positive
bros,1,positive
brosnan,1,negative
brosnan,3,positive
brosnan bunch,1,negative
brosnan gives,1,positive
brosnan james,1,positive
brosnan more,1,positive
brosnanis,1,negative
brosnanis,1,positive
brosnanis finest,1,negative
brosnanis performance,1,positive
brother,2,negative
brother,4,positive
brother donald,1,positive
brother found,1,positive
brother gordy,1,negative
brother hoffmanis,1,negative
brother zany,1,positive
brothers,3,negative
brothers,6,positive
brothers few,1,positive
brothers incredible,1,positive
brothers mcmullen,1,positive
brothers oeuvre,1,negative
brothers ordinary,1,positive
brothers steven,1,positive
brothers style,1,negative
brothers taken,1,positive
brought,3,negative
brought,5,positive
brought back,1,positive
brought down,1,negative
brought lack,1,negative
brought life,1,positive
brought off,1,positive
brought screen,1,positive
brought slovenly,1,positive
brought uncomfortably,1,negative
brow,2,negative
brow humor,1,negative
brow perhaps,1,negative
brown,3,negative
brown,8,positive
brown catalyst,1,positive
brown celebrated,1,positive
brown played,1,positive
brown snake,1,negative
brown sugar,1,negative
brown sugar,5,positive
brown treats,1,negative
brownis,2,positive
brownis athletic,1,positive
brownis life,1,positive
bruce,1,negative
bruce,2,positive
bruce joel,1,positive
bruce willis,1,negative
bruce willis,1,positive
bruckheimer,2,negative
bruckheimer,2,positive
bruckheimer directed,1,negative
bruckheimer elements,1,positive
bruckheimer flick,1,positive
bruckheimer productions,1,negative
bruckheimeresque,1,negative
bruckheimeresque american,1,negative
bruised,1,positive
bruised characters,1,positive
brush,2,positive
brush business,1,positive
brush up,1,positive
brushes,1,positive
brushes calamity,1,positive
brusqueness,1,negative
brusqueness,1,positive
brusqueness undying,1,positive
brussels,1,negative
brussels sprouts,1,negative
brutal,1,negative
brutal,5,positive
brutal funny,1,positive
brutal honesty,1,positive
brutal mid,1,negative
brutal minute,1,positive
brutal nature,1,positive
brutal uk,1,positive
brutality,1,negative
brutality,1,positive
brutality jokes,1,negative
brutality transforms,1,positive
brutally,4,negative
brutally,2,positive
brutally clueless,1,negative
brutally dry,1,negative
brutally honest,1,negative
brutally honest,2,positive
brutally labored,1,negative
bryan,1,negative
bryan,1,positive
bryan adams,1,negative
bryan adams,1,positive
bubba,1,negative
bubba ho,1,negative
bubble,1,positive
bubble hugh,1,positive
bubbles,1,positive
bubbles up,1,positive
bubbly,1,positive
bubbly exchange,1,positive
buck,2,negative
buck greasy,1,negative
buck sequel,1,negative
buckaroo,1,negative
buckaroo banzai,1,negative
bucked,1,positive
bucked odds,1,positive
bucket,1,positive
bucket popcorn,1,positive
bucks,2,positive
bucks all,1,positive
bucks even,1,positive
budding,1,negative
budding,1,positive
budding amours,1,negative
budding demons,1,positive
buddy,2,negative
buddy,1,positive
buddy cop,1,negative
buddy movie,1,positive
buddy pic,1,negative
budget,11,negative
budget,8,positive
budget affair,1,negative
budget all,1,negative
budget all,1,positive
budget betrayed,1,negative
budget charmer,1,positive
budget constraints,1,positive
budget film,1,positive
budget filmmaking,1,positive
budget hybrid,1,negative
budget notwithstanding,1,positive
budget pinocchio,1,negative
budget series,1,negative
budget sommersis,1,negative
budget tired,1,negative
budget video,1,positive
bueller,1,positive
buelleris,1,positive
buelleris time,1,positive
buff,1,negative
buff seeing,1,negative
buffed,1,positive
buffed gloss,1,positive
buffeted,1,positive
buffeted events,1,positive
buffoons,1,negative
buffoons get,1,negative
buffs,1,negative
buffs,4,positive
buffs eat,1,positive
buffs filmis,1,negative
buffs get,1,positive
bug,4,negative
bug eye,1,negative
bug eyed,2,negative
bug things,1,negative
bugged,1,negative
bugsy,1,negative
bugsy caterer,1,negative
build,4,negative
build,2,positive
build feel,1,negative
build interest,1,negative
build mind,1,positive
build some,1,negative
build up,1,negative
build up,1,positive
building,4,negative
building,1,positive
building climax,1,negative
building drama,1,negative
building laugh,1,negative
building suspense,1,negative
building up,1,positive
builds,5,positive
builds crescendo,1,positive
builds gradually,1,positive
builds intense,1,positive
builds multi,1,positive
builds up,1,positive
built,6,negative
built around,1,negative
built audience,1,negative
built controversy,1,negative
built on,3,negative
bulk,1,negative
bulk movie,1,negative
bull,3,negative
bull china,1,negative
bull gets,1,negative
bull sessions,1,negative
bullets,2,negative
bullets,4,positive
bullets director,2,positive
bullets none,1,negative
bullets start,1,positive
bullets stop,1,positive
bullfighters,1,positive
bullfighters comatose,1,positive
bullock,5,negative
bullock,5,positive
bullock bubble,1,positive
bullock despite,1,negative
bullock grant,1,negative
bullock hugh,1,negative
bullock make,1,positive
bullock nonchalant,1,positive
bullock not_katherine,1,negative
bullock vehicle,1,positive
bullockis,3,positive
bullockis best,1,positive
bullockis characters,1,positive
bullockis memorable,1,positive
bullseye,1,positive
bullwinkle,1,negative
bullwinkle on,1,negative
bully,1,negative
bully husband,1,negative
bumbling,2,positive
bumbling american,1,positive
bumbling tongue,1,positive
bump,1,negative
bump,2,positive
bump night,1,negative
bump night,1,positive
bump on,1,positive
bumper,1,negative
bumper cast,1,negative
bumps,1,negative
bumps up,1,negative
bunch,7,negative
bunch,1,positive
bunch good,1,negative
bunch hot,1,negative
bunch one,1,negative
bunch other,1,negative
bunch people,1,positive
bunch strung,1,negative
bunch talented,1,negative
bunch typical,1,negative
bundling,1,positive
bundling flowers,1,positive
bungle,1,negative
bungle way,1,negative
buoy,1,positive
buoy film,1,positive
buoyant,1,negative
buoyant,6,positive
buoyant delivery,1,positive
buoyant energy,1,negative
buoyant expressive,1,positive
buoyant feeling,1,positive
buoyant human,1,positive
buoyant romantic,1,positive
buoyant tone,1,positive
burden,1,positive
burden lightly,1,positive
burdened,1,negative
burdened actoris,1,negative
burgeoning,1,positive
burgeoning genre,1,positive
burger,1,negative
burger,1,positive
burger rockis,1,negative
burger succeeded,1,positive
burgeris,1,negative
burgeris,1,positive
burgeris desire,1,negative
burgeris impressive,1,positive
buried,3,negative
buried,2,positive
buried alive,1,negative
buried beneath,1,positive
buried drowned,1,negative
buried heart,1,positive
buried somewhere,1,negative
buries,1,negative
buries interesting,1,negative
burke,1,positive
burke monster,1,positive
burkina,1,negative
burkina faso,1,negative
burlap,1,negative
burlap sack,1,negative
burlesque,1,negative
burn,2,negative
burn,1,positive
burn every,1,negative
burn negative,1,negative
burn upon,1,positive
burning,2,negative
burning,1,positive
burning blasting,1,negative
burning man,1,positive
burning sensation,1,negative
burningly,1,negative
burningly bad,1,negative
burns,4,negative
burns,5,positive
burns best,1,positive
burns fifth,1,negative
burns filmmaker,1,positive
burns gets,1,negative
burns inventive,1,positive
burns kahlories,1,positive
burns out,1,negative
burns sidewalks,1,negative
burns visuals,1,positive
burnsis,1,positive
burnsis strongest,1,positive
burnt,1,negative
burnt,1,positive
burnt out,1,negative
burnt out,1,positive
burr,2,negative
burr,2,positive
burr commenting,1,negative
burr duvall,1,positive
burr steers,1,negative
burr steers,1,positive
burrito,1,negative
burrito all,1,negative
burst,3,positive
burst across,1,positive
burst color,1,positive
burst violence,1,positive
burstein,2,positive
burstein family,1,positive
burstein put,1,positive
bursting,1,positive
bursting constraints,1,positive
bursts,1,negative
bursts,2,positive
bursts automatic,1,positive
bursts liveliness,1,positive
bursts sharp,1,negative
busby,1,positive
busby berkeley,1,positive
buscemi,1,positive
buscemi rosario,1,positive
bush,1,negative
bush henry,1,negative
bushels,1,negative
bushels violence,1,negative
business,3,negative
business,7,positive
business gets,1,positive
business notable,1,positive
business plans,1,positive
business pleasure,1,positive
business st,1,positive
business striking,1,positive
business usual,1,negative
businesses,1,positive
businesses reason,1,positive
bust,1,negative
bust some,1,negative
busting,2,negative
busting film,1,negative
busting laughs,1,negative
bustling,1,positive
bustling atop,1,positive
busy,6,negative
busy contriving,1,negative
busy exciting,1,negative
busy getting,1,negative
busy hitting,1,negative
busy making,1,negative
busy urban,1,negative
butler,1,positive
butler excels,1,positive
butt,2,negative
butt joke,1,negative
butter,1,negative
butterfingered,1,negative
butterfingered word,1,negative
butterflies,1,negative
butterflies die,1,negative
butterworth,1,negative
butterworth manages,1,negative
butthead,1,positive
butthead yet,1,positive
button,2,negative
button,1,positive
button faces,1,positive
button issues,1,negative
button items,1,negative
buttons,2,positive
buy,8,negative
buy,1,positive
buy accomplished,1,positive
buy criterion,1,negative
buy impetus,1,negative
buy just,1,negative
buy movie,1,negative
buy philip,1,negative
buy soundtrack,1,negative
buy stuff,1,negative
buyers,1,negative
buyers great,1,negative
buying,1,negative
buying tickets,1,negative
buzz,3,negative
buzz blab,1,negative
buzz overwhelming,1,negative
buzz whir,1,negative
buñuel,1,negative
buñuel,1,positive
buñuel film,1,negative
buñuel retrospective,1,positive
buñuelis,1,positive
buñuelis casings,1,positive
bvis,1,positive
bvis voiced,1,positive
byatt,1,positive
byatt demands,1,positive
byattis,1,negative
byattis plot,1,negative
bygone,2,negative
bygone era,2,negative
byler,2,positive
byler reveals,1,positive
byler savvy,1,positive
bypass,1,positive
bypass hip,1,positive
bypassing,1,negative
bypassing not_opportunity,1,negative
byplay,1,positive
byplay bickering,1,positive
byron,1,positive
byron luther,1,positive
bytes,1,negative
bytes information,1,negative
byways,1,positive
byways littered,1,positive
byzantine,1,negative
byzantine incarnations,1,negative
béart,2,positive
béart berling,1,positive
béart continue,1,positive
büttner,1,positive
büttner implies,1,positive
cabins,1,positive
cable,3,negative
cable,1,positive
cable channel,1,positive
cable especially,1,negative
cable loses,1,negative
cable offer,1,negative
cackles,1,positive
cackles notorious,1,positive
cacoyannis,2,negative
cacoyannis displays,1,negative
cacoyannis vision,1,negative
cad,2,positive
cad instructs,1,positive
cad really,1,positive
cadavers,1,negative
cadavers obscure,1,negative
caddyshack,1,negative
caddyshack adopt,1,negative
cadence,1,negative
cadence depressed,1,negative
caesar,2,positive
caesar ladles,1,positive
caesar stepped,1,positive
caffeinated,2,positive
caffeinated comedy,1,positive
caffeinated sloppy,1,positive
café,1,negative
café overhearing,1,negative
cage,2,negative
cage,1,positive
cage makes,1,positive
cage not_first,1,negative
cage spent,1,negative
cageis,1,negative
cageis war,1,negative
cagney,1,negative
cagney lacey,1,negative
cagneyis,1,negative
cagneyis top,1,negative
caine,1,negative
caine,4,positive
caine makes,1,positive
caine making,1,negative
caine mr,1,positive
caine proves,1,positive
caine whipping,1,positive
caineis,1,positive
caineis performance,1,positive
cake,1,negative
cake,1,positive
cake not_fret,1,positive
cal,2,negative
cal unpleasantly,1,negative
cal works,1,negative
calamity,1,positive
calculated,1,negative
calculated,1,positive
calculated events,1,negative
calculated exercise,1,positive
calculating,1,negative
calculating fiend,1,negative
calculations,1,negative
calculations not_rescue,1,negative
calculus,1,negative
calculus major,1,negative
caliber,1,negative
caliber,1,positive
caliber cast,1,negative
caliber performances,1,positive
calibrated,2,positive
calibrated psychological,1,positive
calibrated tone,1,positive
calibre,1,negative
california,1,negative
call,14,negative
call,4,positive
call attention,1,negative
call classicism,1,negative
call clever,1,negative
call cold,1,negative
call cynic,1,negative
call film,1,negative
call film,1,positive
call hungry,1,negative
call magic,1,positive
call movie,2,negative
call one,1,positive
call pity,1,negative
call police,1,negative
call prevention,1,positive
call warning,1,negative
call wild,1,negative
call wow,1,negative
callar,1,negative
callar,3,positive
callar characters,1,negative
callar confirms,1,positive
callar pure,1,positive
called,10,negative
called,6,positive
called acting,1,negative
called angels,1,positive
called best,1,negative
called best,1,positive
called ces,1,negative
called comedy,1,negative
called example,1,positive
called freddy,1,negative
called gift,1,positive
called husband,1,positive
called jar,1,negative
called kind,1,negative
called marriage,1,positive
called professional,1,negative
called satire,1,negative
called siege,1,negative
calling,1,negative
calling,1,positive
calling education,1,positive
calling regardless,1,negative
callow,2,negative
callow pretension,1,negative
callow rich,1,negative
calls,2,positive
calls attention,1,positive
calls retrospectively,1,positive
calm,1,negative
calm,2,positive
calm self,1,positive
calm thoughtful,1,negative
calm us,1,positive
calorie,1,negative
calorie suspense,1,negative
calories,1,positive
calories thereis,1,positive
calvin,1,negative
calvin,1,positive
calvin fellow,1,positive
calvin jr,1,negative
cam,1,negative
cam,1,positive
cam footage,1,negative
cam ron,1,positive
camaraderie,1,negative
camaraderie,1,positive
camaraderie history,1,positive
camaraderie penned,1,negative
came,3,negative
came,4,positive
came back,1,positive
came define,1,negative
came expense,1,positive
came few,1,negative
came handed,1,positive
came up,1,negative
cameo,1,negative
cameo,1,positive
cameo not_suck,1,positive
cameos,1,negative
cameos,1,positive
cameos less,1,positive
cameos not_automatically,1,negative
camera,8,negative
camera,23,positive
camera around,1,positive
camera craziness,1,positive
camera creates,1,positive
camera effects,1,negative
camera enables,1,positive
camera hélène,1,positive
camera interviews,1,positive
camera lends,1,positive
camera line,1,negative
camera mounts,1,positive
camera movements,1,negative
