sentiment,comment,preprocessed
positive,Reaches wholly believable and heart-wrenching depths of despair .,reaches wholly believable heart wrenching depths despair
positive,An absorbing and unsettling psychological drama .,absorbing unsettling psychological drama
positive,"This movie may not have the highest production values you've ever seen , but it's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep .",movie may NOT_highest production values ever seen work artist one whose view america history awkwardness human life generous deep
positive,The entire cast is extraordinarily good .,entire cast extraordinarily good
positive,"Yakusho , as always , is wonderful as the long-faced sad sack ... and his chemistry with Shimizu is very believable .",yakusho always wonderful long faced sad sack chemistry shimizu believable
positive,"Young Hanks and Fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work .",young hanks fisk vaguely resemble celebrity parents bring fresh good looks ease front camera work
positive,"A captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller .",captivatingly quirky hybrid character portrait romantic comedy beat clock thriller
positive,The film sparkles with the the wisdom and humor of its subjects .,film sparkles wisdom humor subjects
positive,"If Jaglom's latest effort is not the director at his most sparkling , some of its repartee is still worth hearing .",jaglomis latest effort NOT_director most sparkling some repartee still worth hearing
positive,"Like The English Patient and The Unbearable Lightness of Being , The Hours is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture in its own right .",like english patient unbearable lightness hours one reputedly unfilmable novels bucked odds emerge exquisite motion picture right
positive,"Just about the best straight-up , old-school horror film of the last years .",just best straight up old school horror film last years
positive,A chilling tale of one of the great crimes of th Century France : the murder of two rich women by their servants in .,chilling tale one great crimes th century france murder two rich women servants
positive,"An oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion .",oddity sure one might wind up remembering degree affection rather revulsion
positive,"While the film is not entirely successful , it still manages to string together enough charming moments to work .",film entirely NOT_successful still manages string together enough charming moments work
positive,A winning piece of work filled with love for the movies of the s .,winning piece work filled love movies
positive,"E.T. works because its flabbergasting principals , -year-old Robert MacNaughton , -year-old Drew Barrymore and -year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .",works flabbergasting principals year old robert macnaughton year old drew barrymore year old henry thomas convince us existence wise wizened visitor faraway planet
positive,A heartening tale of small victories and enduring hope .,heartening tale small victories enduring hope
positive,Jackson and co have brought back the value and respect for the term epic cinema .,jackson co brought back value respect term epic cinema
positive,"It may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie's various victimized audience members after a while , but it also happens to be the movie's most admirable quality",may somewhat backhanded compliment say film makes viewer feel like movieis various victimized audience members also happens movieis most admirable quality
positive,Charlotte Sometimes is a brilliant movie .,charlotte sometimes brilliant movie
positive,"It is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity .",irrational unexplainable life seems real NOT_attempt filter out complexity
positive,"A delightful stimulus for the optic nerves , so much that it's forgivable that the plot feels like every other tale of a totalitarian tomorrow .",delightful stimulus optic nerves much forgivable plot feels like every other tale totalitarian tomorrow
positive,But darned if it doesn't also keep us riveted to our seats .,darned NOT_also keep us riveted seats
positive,A complex psychological drama about a father who returns to his son's home after decades away .,complex psychological drama father returns sonis home decades away
positive,Writer and director Otar Iosseliani's pleasant tale about a factory worker who escapes for a holiday in Venice reveals how we all need a playful respite from the grind to refresh our souls .,writer director otar iosselianiis pleasant tale factory worker escapes holiday venice reveals all need playful respite grind refresh souls
positive,Sweet and memorable film .,sweet memorable film
positive,"A smart , arch and rather cold-blooded comedy .",smart arch rather cold blooded comedy
positive,"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",keenly observed refreshingly natural swimming gets details right promenade barely clad bodies myrtle beach adrenaline jolt sudden lunch rush diner
positive,... begins on a high note and sustains it beautifully .,begins on high note sustains beautifully
positive,Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .,davis gets vivid performances cast pulls off some deft ally mcbeal style fantasy sequences
positive,"` it's better to go in knowing full well what's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists .",better go knowing full well whatis going happen willing let earnestness execution skill cast take down familiar road few twists
positive,"Funny , somber , absurd , and , finally , achingly sad , Bartleby is a fine , understated piece of filmmaking .",funny somber absurd finally achingly sad bartleby fine understated piece filmmaking
positive,`` Red Dragon '' is entertaining .,red dragon entertaining
positive,But it is entertaining on an inferior level .,entertaining on inferior level
positive,"On that score , the film certainly doesn't disappoint .",on score film certainly NOT_disappoint
positive,"As the movie traces Mr. Brown's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",movie traces mr brownis athletic exploits impossible NOT_awed power grace one greatest natural sportsmen modern times
positive,A moving and solidly entertaining comedy\/drama that should bolster director and co-writer Juan José Campanella's reputation in the United States .,moving solidly entertaining comedy drama bolster director co writer juan josé campanellais reputation united states
positive,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",thanks confident filmmaking pair fascinating performances way destination really special walk woods
positive,"Beautifully shot , delicately scored and powered by a set of heartfelt performances , it's a lyrical endeavour .",beautifully shot delicately scored powered set heartfelt performances lyrical endeavour
positive,A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,macabre stylized swedish fillm modern city all religious civic virtues hold society place tatters
positive,A stylistic romp that's always fun to watch .,stylistic romp thatis always fun watch
positive,"Informative , intriguing , observant , often touching ... gives a human face to what's often discussed in purely abstract terms .",informative intriguing observant often touching gives human face whatis often discussed purely abstract terms
positive,"... once the true impact of the day unfolds , the power of this movie is undeniable .",true impact day unfolds power movie undeniable
positive,"An honest , sensitive story from a Vietnamese point of view .",honest sensitive story vietnamese point view
positive,"A buoyant romantic comedy about friendship , love , and the truth that we're all in this together .",buoyant romantic comedy friendship love truth all together
positive,The film's intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that's opened between them .,filmis intimate camera work searing performances pull us deep girls confusion pain struggle tragically comprehend chasm knowledge thatis opened
positive,"It's the perfect star vehicle for Grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona .",perfect star vehicle grant allowing finally move away usual bumbling tongue tied screen persona
positive,"Gaunt , silver-haired and leonine , Harris brings a tragic dimension and savage full-bodied wit and cunning to the aging Sandeman .",gaunt silver haired leonine harris brings tragic dimension savage full bodied wit cunning aging sandeman
positive,"Not only a reminder of how they used to make movies , but also how they sometimes still can be made .",NOT_reminder used make movies also sometimes still made
positive,A three-hour cinema master class .,three hour cinema master class
positive,Eyre is on his way to becoming the American Indian Spike Lee .,eyre on way becoming american indian spike lee
positive,"A witty , whimsical feature debut .",witty whimsical feature debut
positive,"Warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message .",warm loving yet unforgivingly inconsistent depiction everyday people relaxed perfect quiet pace proud message
positive,I loved this film .,loved film
positive,"Clint Eastwood's Blood Work is a lot like a well-made PB & J sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same .",clint eastwoodis blood work lot like well made pb sandwich familiar fairly uneventful boasting NOT_real surprises still quite tasty inviting all same
positive,"A movie that will surely be profane , politically charged music to the ears of Cho's fans .",movie surely profane politically charged music ears chois fans
positive,Much of this slick and sprightly CGI feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings .,much slick sprightly cgi feature sufficiently funny amuse even most resolutely unreligious parents escort little ones megaplex screenings
positive,"Rarely , a movie is more than a movie .",rarely movie more movie
positive,Jacquot's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,jacquotis strategy allows cast benefit able give full performances demonstrating vividly beauty power opera reside primarily music
positive,"By not averting his eyes , Solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .",NOT_averting eyes solondz forces us consider unthinkable unacceptable unmentionable
positive,"While general audiences might not come away with a greater knowledge of the facts of Cuban music , they'll be treated to an impressive and highly entertaining celebration of its sounds .",general audiences might NOT_come away greater knowledge facts cuban music treated impressive highly entertaining celebration sounds
positive,A fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system,fascinating documentary provides rounded revealing overview ancient holistic healing system
positive,"Birthday Girl lucks out with Chaplin and Kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie's darker turns .",birthday girl lucks out chaplin kidman capable anteing up some movie star charisma need sell us on twisted love story also negotiate movieis darker turns
positive,An interesting look behind the scenes of Chicago-based rock group Wilco ...,interesting look behind scenes chicago based rock group wilco
positive,Sharp edges and a deep vein of sadness run through its otherwise comic narrative .,sharp edges deep vein sadness run otherwise comic narrative
positive,There's lots of cool stuff packed into ESPN's Ultimate X.,thereis lots cool stuff packed espnis ultimate
positive,"Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle",rock solid family fun out gates extremely imaginative out wanes middle
positive,Translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be Ya-Ya .,translating complex characters novels big screen impossible task true essence ya
positive,"The touch is generally light enough and the performances , for the most part , credible .",touch generally light enough performances most part credible
positive,"I liked About Schmidt a lot , but I have a feeling that I would have liked it much more if Harry & Tonto never existed .",liked schmidt lot feeling would liked much more harry tonto NOT_existed
positive,That Storytelling has value can not be denied .,storytelling value NOT_denied
positive,A knowing sense of humor and a lot of warmth ignite Son of the Bride .,knowing sense humor lot warmth ignite son bride
positive,"A rich tale of our times , very well told with an appropriate minimum of means .",rich tale times well told appropriate minimum means
positive,"The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",characters complex quirky entirely believable remarkable ensemble cast brings life
positive,"In all fairness , I must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",all fairness must report children varying ages audience NOT_coughed fidgeted romped up down aisles bathroom breaks
positive,"As gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .",gory scenes torture self mutilation may pitted shimmering cinematography lends setting ethereal beauty asian landscape painting
positive,"Efficient , suitably anonymous chiller .",efficient suitably anonymous chiller
positive,The hot topics of the plot are relegated to the background -- a welcome step forward from the Sally Jesse Raphael atmosphere of films like Philadelphia and American Beauty .,hot topics plot relegated background welcome step forward sally jesse raphael atmosphere films like philadelphia american beauty
positive,"It's usually a bad sign when directors abandon their scripts and go where the moment takes them , but Olympia , Wash. , based filmmakers Anne de Marcken and Marilyn Freeman did just that and it's what makes their project so interesting .",usually bad sign directors abandon scripts go moment takes olympia wash based filmmakers anne de marcken marilyn freeman just makes project interesting
positive,"A memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .",memorable experience like many works presents weighty issues colorfully wrapped up idiosyncratic strain kitschy goodwill
positive,"Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond .",executed gentle insistent sincerity good humor appreciation daily grind most hardhearted scrooge could fail respond
positive,The gentle comic treatment of adolescent sturm und drang should please fans of Chris Fuhrman's posthumously published cult novel .,gentle comic treatment adolescent sturm und drang please fans chris fuhrmanis posthumously published cult novel
positive,Director Claude Chabrol has become the master of innuendo .,director claude chabrol become master innuendo
positive,"A deftly entertaining film , smartly played and smartly directed .",deftly entertaining film smartly played smartly directed
positive,I hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,hope movie widely seen debated appropriate ferocity thoughtfulness
positive,"Asks what truth can be discerned from non-firsthand experience , and specifically questions cinema's capability for recording truth .",asks truth discerned non firsthand experience specifically questions cinemais capability recording truth
positive,"The journey to the secret's eventual discovery is a separate adventure , and thrill enough .",journey secretis eventual discovery separate adventure thrill enough
positive,"A quiet , disquieting triumph .",quiet disquieting triumph
positive,Darkly funny and frequently insightful .,darkly funny frequently insightful
positive,"... the tale of her passionate , tumultuous affair with Musset unfolds as Sand's masculine persona , with its love of life and beauty , takes form .",tale passionate tumultuous affair musset unfolds sandis masculine persona love life beauty takes form
positive,There's so much to look at in Metropolis you hate to tear your eyes away from the images long enough to read the subtitles .,thereis much look metropolis hate tear eyes away images long enough read subtitles
positive,"The search for redemption makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .",search redemption makes touching love story mainly blanchett ribisi compellingly tap spiritual aspect characters suffering
positive,A film of ideas and wry comic mayhem .,film ideas wry comic mayhem
positive,"A worthwhile documentary , whether you're into rap or not , even if it may still leave you wanting more answers as the credits roll .",worthwhile documentary whether rap NOT_even may still leave wanting more answers credits roll
positive,Fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessendenis narrative just much ownership redefinition myth domestic unit finding way joy
positive,"Stanley Kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe .",stanley kwan directed NOT_one best gay love stories ever made one best love stories stripe
positive,"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",concert footage stirring recording sessions intriguing on way striking blow artistic integrity quality band may pick up new admirers
positive,"There's quite a bit of heart , as you would expect from the directors of The Little Mermaid and Aladdin .",thereis quite bit heart would expect directors little mermaid aladdin
positive,You won't have any trouble getting kids to eat up these Veggies .,NOT_trouble getting kids eat up veggies
positive,"Enjoyably dumb , sweet , and intermittently hilarious -- if you've a taste for the quirky , steal a glimpse .",enjoyably dumb sweet intermittently hilarious taste quirky steal glimpse
positive,A movie that sends you out of the theater feeling like you've actually spent time living in another community .,movie sends out theater feeling like actually spent time living another community
positive,"Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",light years ahead paint number american blockbusters like pearl harbor least artistically
positive,A fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the New Age .,fascinating documentary long eventful spiritual journey guru helped launch new age
positive,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries .,isabelle huppert excels enigmatic mika anna mouglalis stunning new young talent one chabrolds most intense psychological mysteries
positive,"It's still a comic book , but Maguire makes it a comic book with soul .",still comic book maguire makes comic book soul
positive,"Brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .",brings spectacular completion one most complex generous subversive artworks last decade
positive,"An amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .",amusing unexpectedly insightful examination sexual jealousy resentment fine line passion pretence
positive,"A fascinating , bombshell documentary that should shame Americans , regardless of whether or not ultimate blame finally lies with Kissinger .",fascinating bombshell documentary shame americans regardless whether NOT_ultimate blame finally lies kissinger
positive,Should be required viewing for civics classes and would-be public servants alike .,required viewing civics classes would public servants alike
positive,Adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .,adaptationis success engaging audience travails creating screenplay extraordinary
positive,A polished and vastly entertaining caper film that puts the sting back into the con .,polished vastly entertaining caper film puts sting back con
positive,"It's no surprise that as a director Washington demands and receives excellent performances , from himself and from newcomer Derek Luke .",NOT_surprise director washington demands receives excellent performances newcomer derek luke
positive,"The film gets close to the chimps the same way Goodall did , with a serious minded patience , respect and affection .",film gets close chimps same way goodall serious minded patience respect affection
positive,This may be Burns's strongest film since The Brothers McMullen .,may burnsis strongest film since brothers mcmullen
positive,What makes this film special is Serry's ability to take what is essentially a contained family conflict and put it into a much larger historical context .,makes film special serryis ability take essentially contained family conflict put much larger historical context
positive,It's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,quaid anchors film effortless performance trademark grin perfect ballplayer
positive,"It is OK for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged .",ok movie something sitcom apparatus lines work humor point actors humanly engaged
positive,"A sly female empowerment movie , although not in a way anyone would expect .",sly female empowerment movie although NOT_way anyone would expect
positive,"It's a wonderful , sobering , heart-felt drama .",wonderful sobering heart felt drama
positive,Runs on the pure adrenalin of Pacino's performance .,runs on pure adrenalin pacinois performance
positive,"Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene's prose , and it's there on the screen in their version of The Quiet American .",phillip noyce all actors well cinematographer christopher doyle understand delicate forcefulness greeneis prose on screen version quiet american
positive,"The film just might turn on many people to opera , in general , an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life .",film just might turn on many people opera general art form visceral spiritual wonderfully vulgar sublimely lofty emotionally grand life
positive,"As a vehicle to savour Binoche's skill , the film is well worthwhile .",vehicle savour binoche skill film well worthwhile
positive,"The huskies are beautiful , the border collie is funny and the overall feeling is genial and decent .",huskies beautiful border collie funny overall feeling genial decent
positive,"Whatever complaints I might have , I'd take its earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like Antwone Fisher or The Emperor's Club any time .",whatever complaints might take earnest errors hard won rewards bombastic self glorification other feel good fiascos like antwone fisher emperoris club time
positive,"Mastering its formidable arithmetic of cameras and souls , Group articulates a flood of emotion .",mastering formidable arithmetic cameras souls group articulates flood emotion
positive,"A pretty decent kid-pleasing , tolerable-to-adults lark of a movie .",pretty decent kid pleasing tolerable adults lark movie
positive,"Even during the climactic hourlong cricket match , boredom never takes hold .",even climactic hourlong cricket match boredom NOT_takes hold
positive,Combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why didn't Hollywood think of this sooner ?,combine paranoid claustrophobia submarine movie unsettling spookiness supernatural NOT_hollywood think sooner
positive,"Like Kubrick , Soderbergh isn't afraid to try any genre and to do it his own way .",like kubrick soderbergh NOT_afraid try genre way
positive,Nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,NOT_detract affection moral favorite friends friends thick thin
positive,"If the film has a problem , its shortness disappoints : You want the story to go on and on .",film problem shortness disappoints want story go on on
positive,"Unlike most anime , whose most ardent fans outside Japan seem to be introverted young men with fantasy fetishes , Metropolis never seems hopelessly juvenile .",unlike most anime whose most ardent fans outside japan seem introverted young men fantasy fetishes metropolis NOT_seems hopelessly juvenile
positive,The plot twists give I Am Trying to Break Your Heart an attraction it desperately needed .,plot twists give trying break heart attraction desperately needed
positive,"The most brilliant and brutal UK crime film since Jack Carter went back to Newcastle , the first half of Gangster No. drips with style and , at times , blood .",most brilliant brutal uk crime film since jack carter went back newcastle first half gangster NOT_drips style times blood
positive,"Like its New England characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness .",like new england characters most wander thick clouds denial movie eventually gets around real emotional business striking deep chords sadness
positive,"The Bai brothers have taken an small slice of history and opened it up for all of us to understand , and they've told a nice little story in the process .",bai brothers taken small slice history opened up all us understand told nice little story process
positive,"Flamboyant in some movies and artfully restrained in others , -year-old Jack Nicholson could be looking at his th Oscar nomination by proving that he's now , more than ever , choosing his roles with the precision of the insurance actuary .",flamboyant some movies artfully restrained others year old jack nicholson could looking th oscar nomination proving more ever choosing roles precision insurance actuary
positive,The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,most amazing super sized dosage goofball stunts jackass fan could want
positive,"Real Women may have many agendas , but it also will win you over , in a big way .",real women may many agendas also win big way
positive,"Young Everlyn Sampi , as the courageous Molly Craig , simply radiates star-power potential in this remarkable and memorable film .",young everlyn sampi courageous molly craig simply radiates star power potential remarkable memorable film
positive,Surprisingly powerful and universal .,surprisingly powerful universal
positive,"Morvern Callar confirms Lynne Ramsay as an important , original talent in international cinema .",morvern callar confirms lynne ramsay important original talent international cinema
positive,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .,well done supernatural thriller keen insights parapsychological phenomena soulful nuances grieving process
positive,"A plethora of engaging diatribes on the meaning of ` home , ' delivered in grand passion by the members of the various households .",plethora engaging diatribes on meaning home delivered grand passion members various households
positive,It's technically sumptuous but also almost wildly alive .,technically sumptuous also almost wildly alive
positive,This film puts Wang at the forefront of China's Sixth Generation of film makers .,film puts wang forefront chinais sixth generation film makers
positive,it's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original .,refreshing see movie embraces old fashioned themes process comes out looking like something wholly original
positive,"Wiseman is patient and uncompromising , letting his camera observe and record the lives of women torn apart by a legacy of abuse .",wiseman patient uncompromising letting camera observe record lives women torn apart legacy abuse
positive,There's none of the happily-ever - after spangle of Monsoon Wedding in Late Marriage -- and that's part of what makes Dover Kosashvili's outstanding feature debut so potent .,thereis none happily ever spangle monsoon wedding late marriage thatis part makes dover kosashviliis outstanding feature debut potent
positive,An ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .,ingenious often harrowing look damaged people families offer either despair consolation
positive,Arguably the best script that Besson has written in years .,arguably best script besson written years
positive,It's no lie -- Big Fat Liar is a real charmer .,NOT_lie big fat liar real charmer
positive,"Invigorating , surreal , and resonant with a rainbow of emotion .",invigorating surreal resonant rainbow emotion
positive,"Director Alfonso Cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of French New Wave films .",director alfonso cuaron gets vivid convincing performances fine cast generally keeps things going rapid pace occasionally using omniscient voice narrator manner french new wave films
positive,Pray has really done his subject justice .,pray really done subject justice
positive,An unexpectedly sweet story of sisterhood .,unexpectedly sweet story sisterhood
positive,Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .,maintains sympathy otherwise challenging soul letting share one room world
positive,"A subtle , humorous , illuminating study of politics , power and social mobility .",subtle humorous illuminating study politics power social mobility
positive,"- West Coast rap wars , this modern mob music drama never fails to fascinate .",west coast rap wars modern mob music drama NOT_fails fascinate
positive,"Nair's attention to detail creates an impeccable sense of place , while Thurman and Lewis give what can easily be considered career-best performances .",nairis attention detail creates impeccable sense place thurman lewis give easily considered career best performances
positive,"Berry's saucy , full-bodied performance gives this aging series a much needed kick , making `` Die Another Day '' one of the most entertaining Bonds in years",berryis saucy full bodied performance gives aging series much needed kick making die another day one most entertaining bonds years
positive,Caviezel embodies the transformation of his character completely .,caviezel embodies transformation character completely
positive,"A creepy , intermittently powerful study of a self-destructive man ... about as unsettling to watch as an exploratory medical procedure or an autopsy .",creepy intermittently powerful study self destructive man unsettling watch exploratory medical procedure autopsy
positive,"Pacino and Williams seem to keep upping the ante on each other , just as their characters do in the film .",pacino williams seem keep upping ante on other just characters film
positive,What results is the best performance from either in years .,results best performance either years
positive,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael .,cast top notch predict plenty female audience members drooling michael idemoto michael
positive,"Béart and Berling are both superb , while Huppert ... is magnificent .",béart berling superb huppert magnificent
positive,"Miyazaki has created such a vibrant , colorful world , it's almost impossible not to be swept away by the sheer beauty of his images .",miyazaki created vibrant colorful world almost impossible NOT_swept away sheer beauty images
positive,"Muccino seems to be exploring the idea of why human beings long for what they don't have , and how this gets us in trouble .",muccino seems exploring idea human beings long NOT_gets us trouble
positive,"But even while his characters are acting horribly , he is always sympathetic .",even characters acting horribly always sympathetic
positive,"Whether or not you buy Mr. Broomfield's findings , the film acquires an undeniable entertainment value as the slight , pale Mr. Broomfield continues to force himself on people and into situations that would make lesser men run for cover .",whether NOT_buy mr broomfieldis findings film acquires undeniable entertainment value slight pale mr broomfield continues force on people situations would make lesser men run cover
positive,"... an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",eerily suspenseful deeply absorbing piece works treatise on spirituality well solid sci fi thriller
positive,"I've never seen or heard anything quite like this film , and I recommend it for its originality alone .",NOT_seen heard anything quite like film recommend originality alone
positive,Nicole Kidman makes it a party worth attending .,nicole kidman makes party worth attending
positive,"The direction has a fluid , no-nonsense authority , and the performances by Harris , Phifer and Cam ` ron seal the deal .",direction fluid NOT_nonsense authority performances harris phifer cam ron seal deal
positive,The Komediant is a tale worth catching .,komediant tale worth catching
positive,The writing is clever and the cast is appealing .,writing clever cast appealing
positive,Spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry .,spielberg managed marry science fiction film noir action flicks philosophical inquiry
positive,"It's the type of film about growing up that we don't see often enough these days : realistic , urgent , and not sugarcoated in the least .",type film growing up NOT_see often enough days realistic urgent NOT_sugarcoated least
positive,"A taut , sobering film .",taut sobering film
positive,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza .,exudes fizz busby berkeley musical visceral excitement sports extravaganza
positive,"It's full of cheesy dialogue , but great trashy fun that finally returns De Palma to his pulpy thrillers of the early's .",full cheesy dialogue great trashy fun finally returns de palma pulpy thrillers earlyis
positive,A quietly moving look back at what it was to be Iranian-American in .,quietly moving look back iranian american
positive,"Like a veteran head cutter , Barbershop is tuned in to its community .",like veteran head cutter barbershop tuned community
positive,"I'm sure mainstream audiences will be baffled , but , for those with at least a minimal appreciation of Woolf and Clarissa Dalloway , The Hours represents two of those well spent .",sure mainstream audiences baffled least minimal appreciation woolf clarissa dalloway hours represents two well spent
positive,You live the mood rather than savour the story .,live mood rather savour story
positive,"Angela Gheorghiu as famous prima donna Floria Tosca , Roberto Alagna as her lover Mario Cavaradossi , and Ruggero as the villainous , lecherous police chief Scarpia , all sing beautifully and act adequately .",angela gheorghiu famous prima donna floria tosca roberto alagna lover mario cavaradossi ruggero villainous lecherous police chief scarpia all sing beautifully act adequately
positive,"While there are times when the film's reach exceeds its grasp , the production works more often than it doesn't .",times filmis reach exceeds grasp production works more often no
positive,"Watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown .",watching gentle mesmerizing portrait man coming terms time barely realize mind blown
positive,The beautifully choreographed kitchen ballet is simple but absorbing .,beautifully choreographed kitchen ballet simple absorbing
positive,`` The best Disney movie since the Lion King '',best disney movie since lion king
positive,"Transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the X into the games .",transcends agenda deliver awe inspiring times sublime visuals offer fascinating glimpse subculture extreme athletes whose derring puts games
positive,"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",think gidget muscles lot more smarts just endearing easy watch
positive,Giggling at the absurdities and inconsistencies is part of the fun .,giggling absurdities inconsistencies part fun
positive,"But the talented cast alone will keep you watching , as will the fight scenes .",talented cast alone keep watching fight scenes
positive,Arteta paints a picture of lives lived in a state of quiet desperation .,arteta paints picture lives lived state quiet desperation
positive,"Drug abuse , infidelity and death aren't usually comedy fare , but Turpin's film allows us to chuckle through the angst .",drug abuse infidelity death usually NOT_comedy fare turpinis film allows us chuckle angst
positive,"While Insomnia is in many ways a conventional , even predictable remake , Nolan's penetrating undercurrent of cerebral and cinemantic flair lends it stimulating depth .",insomnia many ways conventional even predictable remake nolanis penetrating undercurrent cerebral cinemantic flair lends stimulating depth
positive,"Efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .",efteriades gives neighborhood scenery vibe all cinematic equivalent big tender hug
positive,"This is a nicely handled affair , a film about human darkness but etched with a light yet unsentimental touch .",nicely handled affair film human darkness etched light yet unsentimental touch
positive,Amazing !,amazing
positive,"A college story that works even without vulgarity , sex scenes , and cussing !",college story works even without vulgarity sex scenes cussing
positive,The amazing film work is so convincing that by movies ' end you'll swear you are wet in some places and feel sand creeping in others .,amazing film work convincing movies end swear wet some places feel sand creeping others
positive,A raunchy and frequently hilarious follow-up to the gifted Korean American stand-up's I'm the One That I Want .,raunchy frequently hilarious follow up gifted korean american stand upis one want
positive,"If you ever wanted to be an astronaut , this is the ultimate movie experience - it's informative and breathtakingly spectacular .",ever wanted astronaut ultimate movie experience informative breathtakingly spectacular
positive,"While Parker and co-writer Catherine di Napoli are faithful to Melville's plotline , they and a fully engaged supporting cast ... have made the old boy's characters more quick-witted than any English Lit major would have thought possible .",parker co writer catherine di napoli faithful melvilleis plotline fully engaged supporting cast made old boyis characters more quick witted english lit major would thought possible
